sourceCRS         ,targetCRS          ,sourceOrigin,dxRoundTrip,dyRoundTrip,dxOriginal ,dyOriginal ,dxProj,dyProj,stepsForward                                                                                                                                                                                                                                                       ,stepsReverse                                                                                                                                                                                                                                                       
DB_Ref_GK5        ,ETRS89_DREF91_UTM33,original    ,-7.034E-005,2.311E-005 ,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33:                                                                              ,Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                              
DB_Ref_GK5        ,ETRS89_DREF91_UTM33,original    ,-7.037E-005,2.309E-005 ,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33:                                                                              ,Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                              
DB_Ref_GK5        ,ETRS89_DREF91_Geod ,original    ,-7.035E-005,2.309E-005 ,4.551E-008 ,1.831E-008 ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.                                                                                                                                     ,Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                     
DB_Ref_GK5        ,ETRS89_DREF91_Geod ,original    ,-7.037E-005,2.311E-005 ,4.311E-008 ,1.336E-008 ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.                                                                                                                                     ,Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                     
DB_Ref_GK5        ,ETRS89_DREF91_Geod ,original    ,-7.034E-005,2.311E-005 ,3.502E-008 ,1.460E-008 ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.                                                                                                                                     ,Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                     
DB_Ref_GK5        ,ETRS89_DREF91_Geod ,original    ,-7.037E-005,2.309E-005 ,3.687E-008 ,1.917E-008 ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.                                                                                                                                     ,Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                     
DB_Ref_GK5        ,DB_Ref_Geod        ,original    ,0.000E+000 ,0.000E+000 ,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.                                                                                                                                                                                                                         ,Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                                                                                         
DB_Ref_GK5        ,DB_Ref_Geod        ,original    ,0.000E+000 ,2.794E-009 ,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.                                                                                                                                                                                                                         ,Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                                                                                         
DB_Ref_GK5        ,DB_Ref_Geod        ,original    ,0.000E+000 ,-9.313E-010,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.                                                                                                                                                                                                                         ,Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                                                                                         
DB_Ref_GK5        ,DB_Ref_Geod        ,original    ,0.000E+000 ,-1.863E-009,           ,           ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.                                                                                                                                                                                                                         ,Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                                                                                         
ETRS89_DREF91_Geod,EGBT22_EGBT_LDP    ,original    ,-2.132E-014,0.000E+000 ,           ,           ,      ,      ,Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.                                                                                                                                ,Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.                                                                                                                                
ETRS89_DREF91_Geod,EGBT22_EGBT_LDP    ,original    ,2.132E-014 ,-3.553E-015,           ,           ,      ,      ,Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.                                                                                                                                ,Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.                                                                                                                                
ETRS89_DREF91_Geod,EGBT22_EGBT_LDP    ,original    ,0.000E+000 ,1.776E-015 ,           ,           ,      ,      ,Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.                                                                                                                                ,Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.                                                                                                                                
ETRS89_DREF91_Geod,EGBT22_EGBT_LDP    ,original    ,-1.421E-014,0.000E+000 ,           ,           ,      ,      ,Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.                                                                                                                                ,Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.                                                                                                                                
ETRS89_DREF91_Geod,EGBT22_Geod        ,original    ,0.000E+000 ,0.000E+000 ,           ,           ,      ,      ,Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.                                                                                                                                                                                 ,Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.                                                                                                                                                                                 
ETRS89_DREF91_Geod,EGBT22_Geod        ,original    ,7.105E-015 ,-3.553E-015,           ,           ,      ,      ,Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.                                                                                                                                                                                 ,Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.                                                                                                                                                                                 
ETRS89_DREF91_Geod,EGBT22_Geod        ,original    ,0.000E+000 ,1.776E-015 ,           ,           ,      ,      ,Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.                                                                                                                                                                                 ,Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.                                                                                                                                                                                 
ETRS89_DREF91_Geod,EGBT22_Geod        ,original    ,7.105E-015 ,-1.776E-015,           ,           ,      ,      ,Transformation from ETRS89_DREF91 to EGBT22_Geod with ETRS89 ellipsoidal height 0.                                                                                                                                                                                 ,Transformation from EGBT22_Geod to ETRS89_DREF91 with ETRS89 ellipsoidal height 0.                                                                                                                                                                                 
ETRS89_DREF91_Geod,ETRS89_DREF91_UTM33,original    ,7.105E-015 ,0.000E+000 ,           ,           ,      ,      ,Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33:                                                                                                                                                                                                              ,Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.                                                                                                                                                                                                              
ETRS89_DREF91_Geod,ETRS89_DREF91_UTM33,original    ,1.421E-014 ,0.000E+000 ,           ,           ,      ,      ,Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33:                                                                                                                                                                                                              ,Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.                                                                                                                                                                                                              
ETRS89_DREF91_Geod,ETRS89_DREF91_UTM33,original    ,-7.105E-015,0.000E+000 ,           ,           ,      ,      ,Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33:                                                                                                                                                                                                              ,Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.                                                                                                                                                                                                              
ETRS89_DREF91_Geod,ETRS89_DREF91_UTM33,original    ,-7.105E-015,0.000E+000 ,           ,           ,      ,      ,Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33:                                                                                                                                                                                                              ,Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.                                                                                                                                                                                                              
ETRS89_DREF91_Geod,DB_Ref_GK5         ,original    ,1.975E-010 ,-1.010E-009,-1.432E-003,-5.019E-003,      ,      ,Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                     ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.                                                                                                                                     
ETRS89_DREF91_Geod,DB_Ref_GK5         ,original    ,1.972E-010 ,-1.011E-009,-1.084E-003,-4.757E-003,      ,      ,Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                     ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.                                                                                                                                     
ETRS89_DREF91_Geod,DB_Ref_GK5         ,original    ,1.978E-010 ,-1.011E-009,-1.152E-003,-3.856E-003,      ,      ,Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                     ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.                                                                                                                                     
ETRS89_DREF91_Geod,DB_Ref_GK5         ,original    ,1.970E-010 ,-1.010E-009,-1.481E-003,-4.056E-003,      ,      ,Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                     ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.                                                                                                                                     
ETRS89_DREF91_Geod,DB_Ref_Geod        ,original    ,1.975E-010 ,-1.010E-009,           ,           ,      ,      ,Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.                                                                                                                                                                                 ,Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.                                                                                                                                                                                 
ETRS89_DREF91_Geod,DB_Ref_Geod        ,original    ,1.972E-010 ,-1.011E-009,           ,           ,      ,      ,Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.                                                                                                                                                                                 ,Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.                                                                                                                                                                                 
ETRS89_DREF91_Geod,DB_Ref_Geod        ,original    ,1.978E-010 ,-1.011E-009,           ,           ,      ,      ,Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.                                                                                                                                                                                 ,Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.                                                                                                                                                                                 
ETRS89_DREF91_Geod,DB_Ref_Geod        ,original    ,1.970E-010 ,-1.010E-009,           ,           ,      ,      ,Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.                                                                                                                                                                                 ,Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.                                                                                                                                                                                 
